FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983051,1983051,EMEI MARIA DA GLÓRIA LOMMEZ,EMEIS,31205681,RUA,CARMO DO RIO CLARO,145,,Pedreira Prado Lopes,NOROESTE,POINT (609909.510042683 7798824.16294239)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983124,1983124,EMEI IPIRANGA,EMEIS,31361836,RUA,DOM CABRAL,133,,Ipiranga,NORDESTE,POINT (611784.219235061 7800719.06724011)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983100,1983100,EMEI SÃO BERNARDO,EMEIS,31357766,RUA,CECILIA PINTO,105,,São Bernardo,NORTE,POINT (610540.209935349 7805193.70644028)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983144,1983144,EMEI GRANJA DE FREITAS,EMEIS,31357510,RUA,SAO VICENTE,371,,Granja de Freitas,LESTE,POINT (616751.812689348 7798244.82086579)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983059,1983059,EMEI GRAJAÚ,EMEIS,31357863,RUA,SANTA INES,75,,São Jorge II,OESTE,POINT (608629.870449769 7794530.46691177)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983154,1983154,EMEI VILA APOLÔNIA,EMEIS,31357995,RUA,MARROCOS,678,,Apolônia,VENDA NOVA,POINT (605490.545592785 7807296.10850243)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983128,1983128,EMEI PINDORAMA,EMEIS,31357685,RUA,GUARARAPES,1850,,Pindorama,NOROESTE,POINT (602472.022354736 7798078.0648085)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983108,1983108,EMEI SANTA AMÉLIA,EMEIS,31357944,RUA,MANOEL EUSTAQUIO,98,,Santa Amélia,PAMPULHA,POINT (606490.923176927 7805382.02810795)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983152,1983152,EMEI CAETANO FURQUIM,EMEIS,31357529,RUA,MAIRINK,625,,Casa Branca,LESTE,POINT (616222.874761139 7799302.42559341)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983056,1983056,EMEI PROFESSORA MARÍLIA TANURE PEREIRA,EMEIS,31002640,RUA,VINTE E OITO DE SETEMBRO,138,,Esplanada,LESTE,POINT (614605.576090149 7798985.81003959)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983189,1983189,EMEI PEDRO LESSA,EMEIS,31368644,RUA,PEDRO LESSA,506,,Pedreira Prado Lopes,NOROESTE,POINT (609847.377605913 7798787.63037849)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983092,1983092,EMEI GUARANI,EMEIS,31361828,RUA,PACAEMBU,10,,Guarani,NORTE,POINT (612727.345922257 7805714.77037922)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983105,1983105,EMEI BRAÚNAS,EMEIS,31357928,RUA,AUREA ELIZA VALADAO,40,,Braúnas,PAMPULHA,POINT (603485.601535597 7805832.99631468)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983172,1983172,EMEI MALDONADO,EMEIS,31361704,RUA,ALCINDO GONCALVES COTTA,105,,Diamante,BARREIRO,POINT (602072.461723531 7789996.86971234)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983064,1983064,EMEI VEREADOR ANTÔNIO MENEZES,EMEIS,31206539,RUA,LUIZ FURTADO FILHO,10,,Letícia,VENDA NOVA,POINT (607078.584178566 7809622.88136706)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983117,1983117,EMEI SERRA VERDE,EMEIS,31362190,RUA,JOSE MACHADO RIBEIRO,64,,Cenáculo,VENDA NOVA,POINT (608767.922374972 7809885.28148378)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983052,1983052,EMEI LUCAS MONTEIRO MACHADO,EMEIS,31357383,RUA,SOLDADO WEVERSON DE ALMEIDA,350,,Vila Pinho,BARREIRO,POINT (601762.665353331 7788294.42623977)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983091,1983091,EMEI MINASLÂNDIA,EMEIS,31357758,RUA,MARIA MADALENA ESTEVES,95,,Minaslândia,NORTE,POINT (611840.472384848 7804581.97095726)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983073,1983073,EMEI JARDIM VITÓRIA II,EMEIS,31361909,RUA,LOURDES GONCALVES BARBOSA,785,,Jardim Vitória,NORDESTE,POINT (617616.645084954 7803677.97496303)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983106,1983106,EMEI CALIFÓRNIA,EMEIS,31357669,RUA,QUATRO MIL QUATROCENTOS E VINTE E NOVE,155,,Vila Califórnia,NOROESTE,POINT (603728.021112054 7796923.32985146)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983147,1983147,EMEI PARAÚNAS,EMEIS,31358053,RUA,PADRE PEDRO PINTO,5700,,Maria Helena,VENDA NOVA,POINT (605965.778337094 7809972.67369534)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983132,1983132,EMEI VILA CONCEIÇÃO,EMEIS,31357421,RUA,CORONEL ALVINO ALVIM DE MENEZES,111,,Nossa Senhora do Rosário,CENTRO-SUL,POINT (613513.61191341 7795564.79637701)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983060,1983060,EMEI MARIA SALES FERREIRA,EMEIS,31205702,RUA,DAS CANOAS,150,,Betânia,OESTE,POINT (605347.051410346 7792660.79747756)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983171,1983171,EMEI CINQUENTENÁRIO,EMEIS,31361712,AVENIDA,DOM JOAO VI,691,,Cinquentenário,OESTE,POINT (606495.013115698 7792496.0610092)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983142,1983142,EMEI VILA SENHOR DOS PASSOS,EMEIS,31357723,RUA,EVARISTO DA VEIGA,239,,Senhor dos Passos,NOROESTE,POINT (610043.801862888 7798591.43031444)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983078,1983078,EMEI ZILAH SPÓSITO,EMEIS,31357839,RUA,COQUILHO,75,,Jaqueline,NORTE,POINT (612243.496270658 7809785.55178347)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983099,1983099,EMEI LUXEMBURGO,EMEIS,31357430,RUA,ACESSO BLOCO UM,200,,Conjunto Santa Maria,CENTRO-SUL,POINT (608951.12854354 7793482.35025288)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983169,1983169,EMEI PIRATININGA,EMEIS,31365408,RUA,ALTINOPOLIS,585,,Piratininga,VENDA NOVA,POINT (605779.917006663 7809475.65486209)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983121,1983121,EMEI MÍRIAM BRANDÃO,EMEIS,31231959,RUA,JOAO BATISTA FERNANDES,75,,Serra Verde,VENDA NOVA,POINT (609270.275701171 7810427.941027)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983183,1983183,EMEI BAIRRO DAS INDÚSTRIAS,EMEIS,31361780,RUA,IRMA MARIA PAULA,254,,Bairro das Indústrias I,BARREIRO,POINT (604571.331854047 7791987.22458137)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983185,1983185,EMEI CARDOSO,EMEIS,31357332,RUA,SOLIDARIEDADE,477,,Flávio de Oliveira,BARREIRO,POINT (604318.976035213 7788070.92173347)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983170,1983170,EMEI NOVA IORQUE,EMEIS,31361860,RUA,EDIVALDO JARDIM,400,,Jardim dos Comerciários,VENDA NOVA,POINT (608523.375370687 7811010.14252157)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983083,1983083,EMEI VILA ESTRELA,EMEIS,31362131,RUA,PRIMAVERA,60,,Santo Antônio,CENTRO-SUL,POINT (610583.30271764 7794570.41877968)
