FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982203,1982203,ESCOLA MUNICIPAL IGNACIO DE ANDRADE MELO,Municipal,31205699,RUA,VIOLETA DE MELO,1005,,Jardim São José,PAMPULHA,POINT (604899.631898847 7799215.21334521)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982173,1982173,ESCOLA MUNICIPAL HILDA RABELLO MATTA,Municipal,31003484,RUA,JOVENTINA DA ROCHA,72,,Heliópolis,NORTE,POINT (611579.532642102 7805334.78772359)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981816,1981816,ESCOLA MUNICIPAL MILTON CAMPOS,Municipal,31003646,RUA,JOVINO RODRIGUES PEGO,195,,Mantiqueira,VENDA NOVA,POINT (606339.051216684 7810764.5825046)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981867,1981867,ESCOLA MUNICIPAL JOSE MARIA DOS MARES GUIA,Municipal,31223654,RUA,DOS BENEDITINOS,180,,Heliópolis,NORTE,POINT (610812.784564397 7805484.2273056)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981810,1981810,ESCOLA MUNICIPAL ELISA BUZELIN,Municipal,31003611,RUA,JAIR AFONSO INACIO,277,,Piratininga,VENDA NOVA,POINT (606535.17037742 7809770.00494798)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981752,1981752,ESCOLA MUNICIPAL PEDRO ALEIXO,Municipal,31002933,AVENIDA,MENELICK DE CARVALHO,255,,Araguaia,BARREIRO,POINT (604398.177369676 7788874.84809659)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982171,1982171,ESCOLA MUNICIPAL ANA ALVES TEIXEIRA,Municipal,31002917,RUA,BARAO DO MONTE ALTO,300,,Cardoso,BARREIRO,POINT (603910.031633199 7788311.13283919)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981884,1981884,ESCOLA MUNICIPAL PROFESSORA ELEONORA PIERUCCETTI,Municipal,31003247,AVENIDA,BERNARDO DE VASCONCELOS,288,,Cachoeirinha,NORDESTE,POINT (610116.761093218 7800857.06915023)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981785,1981785,ESCOLA MUNICIPAL PADRE MARZANO MATIAS,Municipal,31294641,RUA,ERICO VERISSIMO,1280,,Rio Branco,VENDA NOVA,POINT (607384.418127306 7808644.74399159)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982034,1982034,ESCOLA MUNICIPAL SOBRAL PINTO,Municipal,31219550,RUA,DAS ALMAS,1120,,Conjunto Paulo VI,NORDESTE,POINT (616955.369601638 7806622.90553095)
